missingPattern,prop,b,AUC_semi,AUC_known
create_missing_class_one_data,0.4,4,0.7133553575999999,0.7147599048000002
create_missing_class_one_data,0.4,5,0.7110056592,0.7115879808
create_missing_class_one_data,0.4,6,0.7082405831999999,0.7107467208
create_missing_class_one_data,0.4,7,0.709895168,0.71216964
create_missing_class_one_data,0.4,8,0.7070738768,0.7090281216
create_missing_class_one_data,0.4,9,0.7092077848,0.7112706280000001
create_missing_at_random_data,0.45,0,0.71251522,0.7131550704
create_missing_at_random_data,0.45,1,0.710945616,0.709163744
create_missing_at_random_data,0.45,2,0.7144037208,0.7140138111999998
create_missing_at_random_data,0.45,3,0.7139162968,0.7126987152000002
create_missing_at_random_data,0.45,4,0.7130436928,0.7132993496
create_missing_at_random_data,0.45,5,0.7094397752,0.7078889976
create_missing_at_random_data,0.45,6,0.7173935808,0.716736652
create_missing_at_random_data,0.45,7,0.7151144840000001,0.7128601040000001
create_missing_at_random_data,0.45,8,0.7109504768,0.709955916
create_missing_at_random_data,0.45,9,0.7180827312,0.7163008776
create_missing_class_one_data,0.45,0,0.7065253744,0.7083951775999999
create_missing_class_one_data,0.45,1,0.7069613319999999,0.7106091888000001
create_missing_class_one_data,0.45,2,0.7040899296,0.7073817600000001
create_missing_class_one_data,0.45,3,0.7099284552,0.7126893976
create_missing_class_one_data,0.45,4,0.709017816,0.7111109944
create_missing_class_one_data,0.45,5,0.7071131848000001,0.7094797152
create_missing_class_one_data,0.45,6,0.7020169744,0.7048292728000001
create_missing_class_one_data,0.45,7,0.7026305328,0.7056342663999999
create_missing_class_one_data,0.45,8,0.7042183328,0.7084098904
create_missing_class_one_data,0.45,9,0.7056333464,0.7091181456
create_missing_at_random_data,0.5,0,0.7149402184,0.7126772551999998
create_missing_at_random_data,0.5,1,0.712707564,0.7137738664
create_missing_at_random_data,0.5,2,0.71552126,0.7144636015999999
create_missing_at_random_data,0.5,3,0.7163309736,0.7149740536
create_missing_at_random_data,0.5,4,0.7145169200000001,0.713308452
create_missing_at_random_data,0.5,5,0.7134229648,0.7145561624
create_missing_at_random_data,0.5,6,0.7170900368,0.7160082400000001
